iter	Passed	Remaining
0	4	730
1	10	742
2	13	669
3	16	598
4	20	592
5	24	576
6	27	565
7	30	548
8	34	541
9	38	536
10	41	527
11	45	518
12	49	519
13	53	516
14	56	511
15	60	504
16	64	502
17	67	495
18	71	494
19	75	488
20	78	483
21	81	476
22	85	471
23	89	468
24	92	462
25	96	459
26	100	456
27	104	453
28	107	447
29	112	451
30	116	446
31	119	441
32	122	435
33	127	434
34	132	435
35	135	430
36	139	424
37	142	419
38	145	414
39	149	410
40	152	406
41	157	403
42	160	399
43	164	396
44	167	391
45	170	386
46	174	382
47	177	376
48	181	373
49	184	369
50	188	365
51	192	361
52	197	362
53	201	357
54	206	356
55	210	352
56	213	348
57	216	343
58	226	349
59	230	345
60	236	345
61	241	342
62	245	339
63	250	335
64	253	331
65	256	326
66	261	324
67	264	319
68	268	315
69	271	310
70	275	306
71	279	302
72	282	298
73	286	294
74	290	290
75	293	285
76	298	283
77	302	279
78	305	274
79	309	270
80	312	266
81	316	262
82	319	258
83	323	253
84	326	249
85	330	245
86	333	241
87	336	237
88	340	233
89	344	229
90	348	225
91	351	221
92	355	217
93	359	214
94	362	210
95	366	205
96	369	201
97	372	197
98	381	196
99	385	192
100	389	188
101	392	184
102	396	180
103	399	176
104	403	172
105	407	168
106	410	165
107	414	161
108	417	157
109	421	153
110	425	149
111	428	145
112	431	141
113	435	137
114	438	133
115	442	129
116	446	125
117	451	122
118	455	118
119	460	115
120	464	111
121	469	107
122	473	103
123	476	99
124	480	96
125	484	92
126	488	88
127	492	84
128	495	80
129	499	76
130	502	72
131	505	68
132	509	65
133	512	61
134	516	57
135	520	53
136	523	49
137	527	45
138	530	42
139	534	38
140	538	34
141	541	30
142	545	26
143	548	22
144	552	19
145	555	15
146	558	11
147	562	7
148	566	3
149	575	0
